ENSMUSG00000033845	Mrpl15
ENSMUSG00000025903	Lypla1
ENSMUSG00000104217	Gm37988
ENSMUSG00000033813	Tcea1
ENSMUSG00000033793	Atp6v1h
ENSMUSG00000025907	Rb1cc1
ENSMUSG00000090031	4732440D04Rik
ENSMUSG00000033740	St18
ENSMUSG00000051285	Pcmtd1
ENSMUSG00000097797	Gm26901
ENSMUSG00000025909	Sntg1
ENSMUSG00000061024	Rrs1
ENSMUSG00000025911	Adhfe1
ENSMUSG00000067879	3110035E14Rik
ENSMUSG00000025912	Mybl1
ENSMUSG00000045210	Vcpip1
ENSMUSG00000097893	1700034P13Rik
ENSMUSG00000025915	Sgk3
ENSMUSG00000046101	Mcmdc2
ENSMUSG00000098234	Snhg6
ENSMUSG00000099032	Tcf24
ENSMUSG00000025916	Ppp1r42
ENSMUSG00000025917	Cops5
ENSMUSG00000056763	Cspp1
ENSMUSG00000067851	Arfgef1
ENSMUSG00000042501	Cpa6
ENSMUSG00000048960	Prex2
ENSMUSG00000025938	Slco5a1
ENSMUSG00000005886	Ncoa2
ENSMUSG00000025935	Tram1
ENSMUSG00000025937	Lactb2
ENSMUSG00000025932	Eya1
ENSMUSG00000025930	Msc
ENSMUSG00000092083	Kcnb2
ENSMUSG00000025925	Terf1
ENSMUSG00000032719	Sbspon
ENSMUSG00000067795	4930444P10Rik
ENSMUSG00000043716	Rpl7
ENSMUSG00000025921	Rdh10
ENSMUSG00000025920	Stau2
ENSMUSG00000025939	Ube2w
ENSMUSG00000079658	Tceb1
ENSMUSG00000025940	Tmem70
ENSMUSG00000025779	Ly96
ENSMUSG00000025777	Gdap1
ENSMUSG00000041872	Il17f
ENSMUSG00000041859	Mcm3
ENSMUSG00000025931	Paqr8
ENSMUSG00000041809	Efhc1
ENSMUSG00000041779	Tram2
ENSMUSG00000099971	Gm28287
ENSMUSG00000025933	Tmem14a
ENSMUSG00000025934	Gsta3
ENSMUSG00000028033	Kcnq5
ENSMUSG00000100775	Gm29107
ENSMUSG00000026158	Ogfrl1
ENSMUSG00000026156	B3gat2
ENSMUSG00000026155	Smap1
ENSMUSG00000026154	Sdhaf4
ENSMUSG00000026153	Fam135a
ENSMUSG00000026141	Col19a1
ENSMUSG00000073725	Lmbrd1
ENSMUSG00000033569	Adgrb3
ENSMUSG00000053185	Gm9898
ENSMUSG00000048874	Phf3
ENSMUSG00000026064	Ptp4a1
ENSMUSG00000100237	Gm28644
ENSMUSG00000026134	Prim2
ENSMUSG00000004768	Rab23
ENSMUSG00000042215	Bag2
ENSMUSG00000042197	Zfp451
ENSMUSG00000042182	Bend6
ENSMUSG00000026131	Dst
ENSMUSG00000102336	Gm37233
ENSMUSG00000042111	Ccdc115
ENSMUSG00000101711	Gm28306
ENSMUSG00000026127	Imp4
ENSMUSG00000026126	Ptpn18
ENSMUSG00000101223	4930568A12Rik
ENSMUSG00000026125	Prss39
ENSMUSG00000037509	Arhgef4
ENSMUSG00000104002	Gm38336
ENSMUSG00000037503	Fam168b
ENSMUSG00000026123	Plekhb2
ENSMUSG00000045216	Hs6st1
ENSMUSG00000104523	Gm37335
ENSMUSG00000102202	Gm33280
ENSMUSG00000037470	Uggt1
ENSMUSG00000047180	Neurl3
ENSMUSG00000037447	Arid5a
ENSMUSG00000102762	4930403P22Rik
ENSMUSG00000010453	Kansl3
ENSMUSG00000037432	Fer1l5
ENSMUSG00000001143	Lman2l
ENSMUSG00000037408	Cnnm4
ENSMUSG00000001138	Cnnm3
ENSMUSG00000102845	Gm38033
ENSMUSG00000067653	Ankrd23
ENSMUSG00000109510	Gm43543
ENSMUSG00000079610	Ankrd39
ENSMUSG00000026121	Sema4c
ENSMUSG00000046337	Fam178b
ENSMUSG00000061518	Cox5b
ENSMUSG00000037351	Actr1b
ENSMUSG00000102416	4933424G06Rik
ENSMUSG00000026117	Zap70
ENSMUSG00000026116	Tmem131
ENSMUSG00000050122	Vwa3b
ENSMUSG00000026114	Cnga3
ENSMUSG00000026113	Inpp4a
ENSMUSG00000086064	4930439A04Rik
ENSMUSG00000026112	Coa5
ENSMUSG00000026111	Unc50
ENSMUSG00000026110	Mgat4a
ENSMUSG00000026090	2010300C02Rik
ENSMUSG00000060771	Tsga10
ENSMUSG00000097268	Gm26805
ENSMUSG00000037216	Lipt1
ENSMUSG00000026088	Mitd1
ENSMUSG00000026087	Mrpl30
ENSMUSG00000058407	Txndc9
ENSMUSG00000026083	Eif5b
ENSMUSG00000026082	Rev1
ENSMUSG00000037138	Aff3
ENSMUSG00000085391	Gm16150
ENSMUSG00000085280	Gm16151
ENSMUSG00000087131	Gm16152
ENSMUSG00000026080	Chst10
ENSMUSG00000026078	Pdcl3
ENSMUSG00000026077	Npas2
ENSMUSG00000073702	Rpl31
ENSMUSG00000003134	Tbc1d8
ENSMUSG00000003135	Cnot11
ENSMUSG00000048234	Rnf149
ENSMUSG00000050967	Creg2
ENSMUSG00000097083	D930019O06Rik
ENSMUSG00000101634	1700066B17Rik
ENSMUSG00000026074	Map4k4
ENSMUSG00000026073	Il1r2
ENSMUSG00000097899	Gm16894
ENSMUSG00000026072	Il1r1
ENSMUSG00000070942	Il1rl2
ENSMUSG00000026069	Il1rl1
ENSMUSG00000026070	Il18r1
ENSMUSG00000026068	Il18rap
ENSMUSG00000026065	Slc9a4
ENSMUSG00000026062	Slc9a2
ENSMUSG00000103270	Gm37915
ENSMUSG00000041945	Mfsd9
ENSMUSG00000060679	Mrps9
ENSMUSG00000041907	Gpr45
ENSMUSG00000070939	Tgfbrap1
ENSMUSG00000041878	8430432A02Rik
ENSMUSG00000010290	AI597479
